NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
silókukorica;Kalium;2;igen gyenge;0,55
silókukorica;Kalium;2;gyenge;0,5
silókukorica;Kalium;2;közepes;0,45
silókukorica;Kalium;2;jó;0,35
silókukorica;Kalium;2;igen jó;0,25
silókukorica;Kalium;3;igen gyenge;0,45
silókukorica;Kalium;3;gyenge;0,4
silókukorica;Kalium;3;közepes;0,32
silókukorica;Kalium;3;jó;0,25
silókukorica;Kalium;3;igen jó;0,2
silókukorica;Kalium;4;igen gyenge;0,65
silókukorica;Kalium;4;gyenge;0,6
silókukorica;Kalium;4;közepes;0,55
silókukorica;Kalium;4;jó;0,45
silókukorica;Kalium;4;igen jó;0,3
silókukorica;Kalium;5;igen gyenge;0,65
silókukorica;Kalium;5;gyenge;0,6
silókukorica;Kalium;5;közepes;0,45
silókukorica;Kalium;5;jó;0,35
silókukorica;Kalium;5;igen jó;0,15
silókukorica;Kalium;6;igen gyenge;0,5
silókukorica;Kalium;6;gyenge;0,5
silókukorica;Kalium;6;közepes;0,45
silókukorica;Kalium;6;jó;0,35
silókukorica;Kalium;6;igen jó;0,2
zab;Nitrogen;1;igen gyenge;3,2
zab;Nitrogen;1;gyenge;3
zab;Nitrogen;1;közepes;2,8
zab;Nitrogen;1;jó;2,2
zab;Nitrogen;1;igen jó;1,6
zab;Nitrogen;2;igen gyenge;3,4
zab;Nitrogen;2;gyenge;3,2
zab;Nitrogen;2;közepes;3
zab;Nitrogen;2;jó;2,2
zab;Nitrogen;2;igen jó;1,6
zab;Nitrogen;3;igen gyenge;3,2
zab;Nitrogen;3;gyenge;3
zab;Nitrogen;3;közepes;2,8
zab;Nitrogen;3;jó;2,6
zab;Nitrogen;3;igen jó;1,4
zab;Nitrogen;4;igen gyenge;3,9
zab;Nitrogen;4;gyenge;3,6
zab;Nitrogen;4;közepes;3,3
zab;Nitrogen;4;jó;3
zab;Nitrogen;4;igen jó;1
zab;Nitrogen;5;igen gyenge;3,9
zab;Nitrogen;5;gyenge;3,6
zab;Nitrogen;5;közepes;3,3
zab;Nitrogen;5;jó;3
zab;Nitrogen;5;igen jó;1
zab;Nitrogen;6;igen gyenge;4,1
zab;Nitrogen;6;gyenge;3,8
zab;Nitrogen;6;közepes;3,5
zab;Nitrogen;6;jó;3,2
zab;Nitrogen;6;igen jó;1
zab;Foszfor;1;igen gyenge;2,2
zab;Foszfor;1;gyenge;2
zab;Foszfor;1;közepes;1,8
zab;Foszfor;1;jó;1,4
zab;Foszfor;1;igen jó;0,7
zab;Foszfor;2;igen gyenge;2,4
zab;Foszfor;2;gyenge;2,2
zab;Foszfor;2;közepes;2
zab;Foszfor;2;jó;1,5
zab;Foszfor;2;igen jó;0,7
zab;Foszfor;3;igen gyenge;2,8
zab;Foszfor;3;gyenge;2,6
zab;Foszfor;3;közepes;2,4
zab;Foszfor;3;jó;1,9
zab;Foszfor;3;igen jó;1
zab;Foszfor;4;igen gyenge;3,1
zab;Foszfor;4;gyenge;2,9
zab;Foszfor;4;közepes;2,7
zab;Foszfor;4;jó;2,2
zab;Foszfor;4;igen jó;1
zab;Foszfor;5;igen gyenge;3,1
zab;Foszfor;5;gyenge;2,9
zab;Foszfor;5;közepes;2,7
zab;Foszfor;5;jó;2,2
zab;Foszfor;5;igen jó;1
zab;Foszfor;6;igen gyenge;3
zab;Foszfor;6;gyenge;2,7
zab;Foszfor;6;közepes;2,5
zab;Foszfor;6;jó;2
zab;Foszfor;6;igen jó;0,7
zab;Kalium;1;igen gyenge;3,5
zab;Kalium;1;gyenge;3,2
zab;Kalium;1;közepes;2,9
zab;Kalium;1;jó;2,2
zab;Kalium;1;igen jó;1,2
zab;Kalium;2;igen gyenge;3,8
zab;Kalium;2;gyenge;3,5
zab;Kalium;2;közepes;3,2
zab;Kalium;2;jó;2,5
zab;Kalium;2;igen jó;1,6
zab;Kalium;3;igen gyenge;4
zab;Kalium;3;gyenge;3,7
zab;Kalium;3;közepes;3,4
zab;Kalium;3;jó;2,6
zab;Kalium;3;igen jó;1,6
zab;Kalium;4;igen gyenge;4,4
zab;Kalium;4;gyenge;4,1
zab;Kalium;4;közepes;3,8
zab;Kalium;4;jó;3,1
zab;Kalium;4;igen jó;2
zab;Kalium;5;igen gyenge;4,4
zab;Kalium;5;gyenge;4,1
zab;Kalium;5;közepes;3,8
zab;Kalium;5;jó;3,1
zab;Kalium;5;igen jó;2
zab;Kalium;6;igen gyenge;4,2
zab;Kalium;6;gyenge;3,9
zab;Kalium;6;közepes;3,6
zab;Kalium;6;jó;2,7
zab;Kalium;6;igen jó;1,6
tritikálé;Nitrogen;1;igen gyenge;3,3
tritikálé;Nitrogen;1;gyenge;3,1
tritikálé;Nitrogen;1;közepes;2,8
tritikálé;Nitrogen;1;jó;2,6
tritikálé;Nitrogen;1;igen jó;2,4
tritikálé;Nitrogen;2;igen gyenge;3,5
tritikálé;Nitrogen;2;gyenge;3,3
tritikálé;Nitrogen;2;közepes;3
tritikálé;Nitrogen;2;jó;2,8
tritikálé;Nitrogen;2;igen jó;2,6
tritikálé;Nitrogen;3;igen gyenge;3,1
tritikálé;Nitrogen;3;gyenge;2,9
tritikálé;Nitrogen;3;közepes;2,6
tritikálé;Nitrogen;3;jó;2,4
tritikálé;Nitrogen;3;igen jó;2,1
tritikálé;Nitrogen;4;igen gyenge;3,8
tritikálé;Nitrogen;4;gyenge;3,6
tritikálé;Nitrogen;4;közepes;3,3
tritikálé;Nitrogen;4;jó;3,1
tritikálé;Nitrogen;4;igen jó;2,8
tritikálé;Nitrogen;5;igen gyenge;3,5
tritikálé;Nitrogen;5;gyenge;3,3
tritikálé;Nitrogen;5;közepes;3
tritikálé;Nitrogen;5;jó;2,8
tritikálé;Nitrogen;5;igen jó;2,6
tritikálé;Nitrogen;6;igen gyenge;3,5
tritikálé;Nitrogen;6;gyenge;3,3
tritikálé;Nitrogen;6;közepes;3
tritikálé;Nitrogen;6;jó;2,8
tritikálé;Nitrogen;6;igen jó;2,6
tritikálé;Foszfor;1;igen gyenge;1,7
tritikálé;Foszfor;1;gyenge;1,4
tritikálé;Foszfor;1;közepes;1,2
tritikálé;Foszfor;1;jó;1,1
tritikálé;Foszfor;1;igen jó;1
tritikálé;Foszfor;2;igen gyenge;1,8
tritikálé;Foszfor;2;gyenge;1,5
tritikálé;Foszfor;2;közepes;1,3
tritikálé;Foszfor;2;jó;1,2
tritikálé;Foszfor;2;igen jó;1,1
tritikálé;Foszfor;3;igen gyenge;2,1
tritikálé;Foszfor;3;gyenge;1,8
tritikálé;Foszfor;3;közepes;1,5
tritikálé;Foszfor;3;jó;1,3
tritikálé;Foszfor;3;igen jó;1,1
tritikálé;Foszfor;4;igen gyenge;2,1
tritikálé;Foszfor;4;gyenge;1,8
tritikálé;Foszfor;4;közepes;1,5
tritikálé;Foszfor;4;jó;1,3
tritikálé;Foszfor;4;igen jó;1,2
tritikálé;Foszfor;5;igen gyenge;2,1
tritikálé;Foszfor;5;gyenge;1,8
tritikálé;Foszfor;5;közepes;1,5
tritikálé;Foszfor;5;jó;1,3
tritikálé;Foszfor;5;igen jó;1,1
tritikálé;Foszfor;6;igen gyenge;2,1
tritikálé;Foszfor;6;gyenge;1,8
tritikálé;Foszfor;6;közepes;1,5
tritikálé;Foszfor;6;jó;1,3
tritikálé;Foszfor;6;igen jó;1,1
tritikálé;Kalium;1;igen gyenge;2,6
tritikálé;Kalium;1;gyenge;2,4
tritikálé;Kalium;1;közepes;3,1
tritikálé;Kalium;1;jó;2
tritikálé;Kalium;1;igen jó;1,9
tritikálé;Kalium;2;igen gyenge;2,7
tritikálé;Kalium;2;gyenge;2,5
tritikálé;Kalium;2;közepes;2,2
tritikálé;Kalium;2;jó;2,1
tritikálé;Kalium;2;igen jó;2
tritikálé;Kalium;3;igen gyenge;2,8
tritikálé;Kalium;3;gyenge;2,6
tritikálé;Kalium;3;közepes;2,4
tritikálé;Kalium;3;jó;2,2
tritikálé;Kalium;3;igen jó;2,1
tritikálé;Kalium;4;igen gyenge;3,1
tritikálé;Kalium;4;gyenge;2,9
tritikálé;Kalium;4;közepes;2,6
tritikálé;Kalium;4;jó;2,4
tritikálé;Kalium;4;igen jó;2,3
tritikálé;Kalium;5;igen gyenge;2,8
tritikálé;Kalium;5;gyenge;2,6
tritikálé;Kalium;5;közepes;2,4
tritikálé;Kalium;5;jó;2,2
tritikálé;Kalium;5;igen jó;2,1
tritikálé;Kalium;6;igen gyenge;2,8
tritikálé;Kalium;6;gyenge;2,6
tritikálé;Kalium;6;közepes;2,4
tritikálé;Kalium;6;jó;2,2
tritikálé;Kalium;6;igen jó;2,1
bíborhere;Nitrogen;2;igen gyenge;22
bíborhere;Nitrogen;2;gyenge;20
bíborhere;Nitrogen;2;közepes;17
bíborhere;Nitrogen;2;jó;13
bíborhere;Nitrogen;2;igen jó;10
bíborhere;Nitrogen;3;igen gyenge;22
bíborhere;Nitrogen;3;gyenge;20
bíborhere;Nitrogen;3;közepes;17
bíborhere;Nitrogen;3;jó;13
bíborhere;Nitrogen;3;igen jó;10
bíborhere;Nitrogen;6;igen gyenge;24
bíborhere;Nitrogen;6;gyenge;23
bíborhere;Nitrogen;6;közepes;20
bíborhere;Nitrogen;6;jó;16
bíborhere;Nitrogen;6;igen jó;12
bíborhere;Foszfor;2;igen gyenge;16
bíborhere;Foszfor;2;gyenge;14
bíborhere;Foszfor;2;közepes;10
bíborhere;Foszfor;2;jó;7
bíborhere;Foszfor;2;igen jó;5
bíborhere;Foszfor;3;igen gyenge;16
bíborhere;Foszfor;3;gyenge;14
bíborhere;Foszfor;3;közepes;10
bíborhere;Foszfor;3;jó;7
bíborhere;Foszfor;3;igen jó;5
bíborhere;Foszfor;6;igen gyenge;21
bíborhere;Foszfor;6;gyenge;18
bíborhere;Foszfor;6;közepes;13
bíborhere;Foszfor;6;jó;10
bíborhere;Foszfor;6;igen jó;9
bíborhere;Kalium;2;igen gyenge;24
bíborhere;Kalium;2;gyenge;22
bíborhere;Kalium;2;közepes;18
bíborhere;Kalium;2;jó;14
bíborhere;Kalium;2;igen jó;12
bíborhere;Kalium;3;igen gyenge;24
bíborhere;Kalium;3;gyenge;22
bíborhere;Kalium;3;közepes;18
bíborhere;Kalium;3;jó;14
bíborhere;Kalium;3;igen jó;12
bíborhere;Kalium;6;igen gyenge;23
bíborhere;Kalium;6;gyenge;22
bíborhere;Kalium;6;közepes;20
bíborhere;Kalium;6;jó;16
bíborhere;Kalium;6;igen jó;13
lucerna;Nitrogen;1;igen gyenge;2,5
lucerna;Nitrogen;1;gyenge;2
lucerna;Nitrogen;1;közepes;1,6
lucerna;Nitrogen;1;jó;1,2
lucerna;Nitrogen;1;igen jó;0,6
lucerna;Nitrogen;2;igen gyenge;2,7
lucerna;Nitrogen;2;gyenge;2,1
lucerna;Nitrogen;2;közepes;1,7
lucerna;Nitrogen;2;jó;1,4
lucerna;Nitrogen;2;igen jó;0,7
lucerna;Nitrogen;3;igen gyenge;2,6
lucerna;Nitrogen;3;gyenge;2
lucerna;Nitrogen;3;közepes;1,7
lucerna;Nitrogen;3;jó;1,4
lucerna;Nitrogen;3;igen jó;0,7
lucerna;Nitrogen;4;igen gyenge;3
lucerna;Nitrogen;4;gyenge;2,4
lucerna;Nitrogen;4;közepes;1,9
lucerna;Nitrogen;4;jó;1,6
lucerna;Nitrogen;4;igen jó;1,1
lucerna;Nitrogen;5;igen gyenge;2,8
lucerna;Nitrogen;5;gyenge;2,2
lucerna;Nitrogen;5;közepes;1,8
lucerna;Nitrogen;5;jó;1,5
lucerna;Nitrogen;5;igen jó;0,9
lucerna;Nitrogen;6;igen gyenge;2,7
lucerna;Nitrogen;6;gyenge;2,3
lucerna;Nitrogen;6;közepes;2
lucerna;Nitrogen;6;jó;1,7
lucerna;Nitrogen;6;igen jó;1,3
lucerna;Foszfor;1;igen gyenge;1,6
lucerna;Foszfor;1;gyenge;1,4
lucerna;Foszfor;1;közepes;1,1
lucerna;Foszfor;1;jó;0,8
lucerna;Foszfor;1;igen jó;0,4
lucerna;Foszfor;2;igen gyenge;1,5
lucerna;Foszfor;2;gyenge;1,3
lucerna;Foszfor;2;közepes;1,1
lucerna;Foszfor;2;jó;0,7
lucerna;Foszfor;2;igen jó;0,4
lucerna;Foszfor;3;igen gyenge;1,8
lucerna;Foszfor;3;gyenge;1,6
lucerna;Foszfor;3;közepes;1,3
lucerna;Foszfor;3;jó;0,9
lucerna;Foszfor;3;igen jó;0,5
lucerna;Foszfor;4;igen gyenge;1,6
lucerna;Foszfor;4;gyenge;1,4
lucerna;Foszfor;4;közepes;1,1
lucerna;Foszfor;4;jó;0,8
lucerna;Foszfor;4;igen jó;0,4
lucerna;Foszfor;5;igen gyenge;1,6
lucerna;Foszfor;5;gyenge;1,4
lucerna;Foszfor;5;közepes;1,25
lucerna;Foszfor;5;jó;0,9
lucerna;Foszfor;5;igen jó;0,5
lucerna;Foszfor;6;igen gyenge;1,5
lucerna;Foszfor;6;gyenge;1,4
lucerna;Foszfor;6;közepes;1,2
lucerna;Foszfor;6;jó;0,9
lucerna;Foszfor;6;igen jó;0,4
lucerna;Kalium;1;igen gyenge;2,1
lucerna;Kalium;1;gyenge;2
lucerna;Kalium;1;közepes;1,8
lucerna;Kalium;1;jó;1,4
lucerna;Kalium;1;igen jó;0,6
lucerna;Kalium;2;igen gyenge;2,2
lucerna;Kalium;2;gyenge;2
lucerna;Kalium;2;közepes;1,7
lucerna;Kalium;2;jó;1,4
lucerna;Kalium;2;igen jó;0,7
lucerna;Kalium;3;igen gyenge;2
lucerna;Kalium;3;gyenge;1,8
lucerna;Kalium;3;közepes;1,5
lucerna;Kalium;3;jó;1,2
lucerna;Kalium;3;igen jó;0,5
lucerna;Kalium;4;igen gyenge;2,1
lucerna;Kalium;4;gyenge;2
lucerna;Kalium;4;közepes;1,8
lucerna;Kalium;4;jó;1,45
lucerna;Kalium;4;igen jó;0,8
lucerna;Kalium;5;igen gyenge;2
lucerna;Kalium;5;gyenge;1,9
lucerna;Kalium;5;közepes;1,7
lucerna;Kalium;5;jó;1,35
lucerna;Kalium;5;igen jó;0,7
lucerna;Kalium;6;igen gyenge;2
lucerna;Kalium;6;gyenge;1,9
lucerna;Kalium;6;közepes;1,7
lucerna;Kalium;6;jó;1,35
lucerna;Kalium;6;igen jó;0,8
