NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
õszi árpa;Foszfor;1;igen gyenge;2,7
õszi árpa;Foszfor;1;gyenge;2,4
õszi árpa;Foszfor;1;közepes;2
õszi árpa;Foszfor;1;jó;1,4
õszi árpa;Foszfor;1;igen jó;0,6
õszi árpa;Foszfor;2;igen gyenge;3
õszi árpa;Foszfor;2;gyenge;2,6
õszi árpa;Foszfor;2;közepes;2,1
õszi árpa;Foszfor;2;jó;1,6
õszi árpa;Foszfor;2;igen jó;0,8
õszi árpa;Foszfor;3;igen gyenge;3
õszi árpa;Foszfor;3;gyenge;2,7
õszi árpa;Foszfor;3;közepes;2,3
õszi árpa;Foszfor;3;jó;1,8
õszi árpa;Foszfor;3;igen jó;0,8
õszi árpa;Foszfor;4;igen gyenge;2,8
õszi árpa;Foszfor;4;gyenge;2,5
õszi árpa;Foszfor;4;közepes;2,2
õszi árpa;Foszfor;4;jó;1,8
õszi árpa;Foszfor;4;igen jó;1
õszi árpa;Foszfor;5;igen gyenge;3,2
õszi árpa;Foszfor;5;gyenge;2,8
õszi árpa;Foszfor;5;közepes;2,4
õszi árpa;Foszfor;5;jó;2
õszi árpa;Foszfor;5;igen jó;0,8
õszi árpa;Foszfor;6;igen gyenge;3
õszi árpa;Foszfor;6;gyenge;2,5
õszi árpa;Foszfor;6;közepes;2,2
õszi árpa;Foszfor;6;jó;1,6
õszi árpa;Foszfor;6;igen jó;0,7
õszi árpa;Kalium;1;igen gyenge;3,4
õszi árpa;Kalium;1;gyenge;3
õszi árpa;Kalium;1;közepes;2,5
õszi árpa;Kalium;1;jó;1,8
õszi árpa;Kalium;1;igen jó;1
õszi árpa;Kalium;2;igen gyenge;3,5
õszi árpa;Kalium;2;gyenge;3,1
õszi árpa;Kalium;2;közepes;2,7
õszi árpa;Kalium;2;jó;2
õszi árpa;Kalium;2;igen jó;1,2
õszi árpa;Kalium;3;igen gyenge;3,3
õszi árpa;Kalium;3;gyenge;2,9
õszi árpa;Kalium;3;közepes;2,4
õszi árpa;Kalium;3;jó;1,5
õszi árpa;Kalium;3;igen jó;0,8
õszi árpa;Kalium;4;igen gyenge;3,6
õszi árpa;Kalium;4;gyenge;3,3
õszi árpa;Kalium;4;közepes;2,9
õszi árpa;Kalium;4;jó;2,1
õszi árpa;Kalium;4;igen jó;1,3
õszi árpa;Kalium;5;igen gyenge;3,5
õszi árpa;Kalium;5;gyenge;3,1
õszi árpa;Kalium;5;közepes;2,6
õszi árpa;Kalium;5;jó;1,8
õszi árpa;Kalium;5;igen jó;0,8
õszi árpa;Kalium;6;igen gyenge;3,4
õszi árpa;Kalium;6;gyenge;3,2
õszi árpa;Kalium;6;közepes;2,8
õszi árpa;Kalium;6;jó;2
õszi árpa;Kalium;6;igen jó;1,1
tavaszi árpa;Nitrogen;1;igen gyenge;2
tavaszi árpa;Nitrogen;1;gyenge;1,8
tavaszi árpa;Nitrogen;1;közepes;1,5
tavaszi árpa;Nitrogen;1;jó;1
tavaszi árpa;Nitrogen;1;igen jó;0,7
tavaszi árpa;Nitrogen;2;igen gyenge;2,4
tavaszi árpa;Nitrogen;2;gyenge;2,3
tavaszi árpa;Nitrogen;2;közepes;2
tavaszi árpa;Nitrogen;2;jó;1,5
tavaszi árpa;Nitrogen;2;igen jó;1
tavaszi árpa;Nitrogen;6;közepes;2,1
tavaszi árpa;Nitrogen;6;jó;1,8
tavaszi árpa;Nitrogen;6;igen jó;1,4
tavaszi árpa;Foszfor;1;igen gyenge;2,6
tavaszi árpa;Foszfor;1;gyenge;2,3
tavaszi árpa;Foszfor;1;közepes;2
